Uniprot_ID,PubMed_ID
Q46865,9278503; 16738553; 16768798; 16352847; 19690171; 19909729; 20105222; 19943910; 21516113; 21788497; 29531044; 23432955; 23289863; 23172222; 25534751; 20041169
P0AFS5,9097039; 9278503; 16738553; 15919996; 16385049
P69913,8393005; 8604133; 9205837; 9278503; 16738553; 7751274; 7493933; 9211896; 11298291; 11741870; 12193630; 12067347; 12694612; 16352847; 16923806; 18223068; 18713317; 19103924; 19460094; 21488981; 21696456; 28851853; 28924029; 25833324; 15866937
Q8YAY5,11756688; 16008582; 17056750; 17557825; 20529360
P0AE70,2844820; 8226627; 9278503; 16738553; 8650219; 11071896; 11222603; 12123459; 12972253; 15150257; 15576778; 15316771; 15537630; 15837428; 16390452; 17962566; 18310334; 18854355; 19251848; 19707553; 21944167; 21419338; 21788497; 29531044; 20005847; 22412352; 23432955; 23416055; 23280569; 24375411; 25564525; 19215780; 26395283; 12718874; 16413577
Q9I194,10984043; 16495538; 12207696; 14532048; 12686626
A0A0H2URK1,11463916; 16861665; 18507531; 19202081; 19627498; 20714350; 24936067; 28456649; 28246170; 24430336; 27582320
G3XD24,8522505; 9353923; 10984043; 16233808; 23650915; 27031335; 30425146; 33097715; 31964737
Q2G2F3,11160124; 14726534; 16177293
P77432,9097039; 9278503; 16738553; 8649811; 15601708; 17557827; 20025244
G3XDA8,16232467; 10984043; 12596240; 18282104; 6436026; 16232935; 24023943; 25005086
P0C0F7,11123673; 15899963; 1645442; 12960398; 16611728; 28784774; 16940295; 20231439; 28369120
Q46864,9278503; 16738553; 16768798; 19690171; 20105222; 19943910; 21516113; 23432955; 23172222; 24212724; 25534751; 20823526; 20041169; 21068382; 22789559
P54507,8969508; 9384377; 3096962; 10368135; 10658653; 10049401; 10464223; 12429099; 16430695; 16430696; 20080671; 23646920; 29531041
O69078,11673439; 10984043; 15126453; 16359708; 16104018
Q9ZN70,10382967; 10984043; 26576296
Q9HWA4,10984043; 12499175; 15882421; 18684246; 19151143; 21091863; 23209420; 31492668
Q9I0I4,10984043; 33097715; 30425146
P04739,2997119; 10984043; 8330261; 8845350; 1429457; 9282737; 23266901; 26041805; 27162347; 31431558
G3XCV0,10984043; 9287015; 11673434; 22581773; 26362077; 26712005
A8AZP4,17720781; 8366515; 19884334; 21071690; 24136582; 27616700
Q8Y7I9,12039883; 11679669
B2RH54,7902712; 18524787; 8778568; 9786913; 10377095; 12593606; 15165251; 17675496; 17526848; 20530728; 23809984; 27062925
A3M3H0,17344419; 22825448; 22609912
P20581,2153661; 10984043; 12426334; 18776012; 25960261; 27851827; 19788310; 20419351; 27082157
Q5HKQ1,8809760; 15774886; 12142410; 18208836
A0A0K9TI84,NaN
Q24NU6,16513756
A0A1Y3DLE7,NaN
A0A0P6VQ67,NaN
A0A1G6Y1M4,NaN
J2X9J6,23045501
A0A426FHL4,NaN
A0A1Y3DHE6,NaN
E9TEE4,NaN
A0A1D8ARV6,NaN
A0A0D4CKI7,22887668
A0A1Y3DJV2,NaN
A0A7U5V754,NaN
A0A1G6Y1S3,NaN
A0A7W3GN78,NaN
Q7VX65,12910271
Q7VY41,12910271
A0A2U9TDF7,NaN
A0A446CVA5,NaN
A0A1G6Y1D5,NaN
A0A6I6VNC7,25398872
A0A502JPJ4,31206918
A0A1Y3DG06,NaN
A0A2U9THN8,NaN
A0A7U5V761,NaN
A0A426FGN3,NaN
A0A6L6TIR7,NaN
Q7VX64,12910271
A0A0H3H1S4,22493189
A0A4Q7ZB80,NaN
A0A3R9HN29,NaN
A0A6N0JMF2,NaN
A0A0J5WI76,NaN
A0A060NNA1,24845058
A0A0M4KYJ3,26301592
A0A4Q7ZB60,NaN
A0A4P7PA43,30941113
A0A286B8N7,NaN
A0A4Y3IV53,NaN
A0A2S8IKW9,NaN
A0A009ZE23,NaN
A0A103ZDD5,NaN
A0A7C1YJ10,31911466
A0A009YQB2,NaN
A0A2X1FXM7,NaN
A0A103Z491,NaN
A0A118KCU4,NaN
A0A0T6ADX8,NaN
A0A4P7PA38,30941113
A0A7Y1QPP7,32587583
A0A543Q605,NaN
A0A7Y1MQN0,32587583
A0A3S0RFR7,NaN
A0A7C1YCS2,31911466
A0A2K8UJN3,NaN
A0A7Y1MR48,32587583
A0A3S0PDQ8,NaN
A0A0J5WFA6,NaN
A0A1I0LT60,NaN
A0A0V8SS03,NaN
A0A3S0RV36,NaN
A0A2K8UJU0,NaN
A0A009ZVW9,NaN
A0A2S8IM05,NaN
A0A286B8N3,NaN
A0A2S8IKW2,NaN
A0A0J5WSP2,NaN
A0A1B4Q167,NaN
A0A103Z4F9,NaN
A0A0V8SS59,NaN
A0A0M3SW47,26301592
A0A2X1GDF9,NaN
A0A0V8SUZ8,NaN
A0A2S8IKV8,NaN
A0A543Q6C4,NaN
A0A543PYT6,NaN
A0A2X1GUH6,NaN
A0A1B4Q0E5,NaN
A0A1M7TNV8,NaN
A0A7C1YIT8,31911466
A0A014CLU9,NaN
A0A6G8RWH6,NaN
A0A7Z3ANG7,NaN
A0A1G9SG20,NaN
A0A1I6SUH7,NaN
A0A1T0ASV2,NaN
